RH_avg,RR,ss,ff_x,flood,TempRangeCategory,month
85.0,1.3,4.4,4.0,0,1,2
92.0,19.1,4.8,4.0,1,1,2
92.0,16.9,0.5,3.0,1,1,2
91.0,11.3,2.9,4.0,1,1,2
93.0,1.7,1.2,4.0,1,1,2
91.0,38.3,1.4,4.0,1,1,2
86.0,7.7,5.4,5.0,0,1,2
89.0,0.4,9.8,5.0,0,1,2
84.0,1.4,0.8,5.0,0,1,2
87.0,1.7,4.9,4.0,0,1,2
87.0,0.5,0.7,3.0,0,0,2
92.0,1.4,0.6,4.0,0,0,2
81.0,24.7,0.0,4.0,0,1,2
76.0,1.4,5.1,4.0,0,1,2
83.0,2.0,1.6,3.0,0,1,2
93.0,0.4,6.0,5.0,0,1,2
86.0,15.7,3.5,5.0,0,1,2
87.0,1.4,6.9,4.0,0,1,2
89.0,16.8,6.5,3.0,0,0,2
